Date,Open,Source,High,Low,Adj Close,Volume
2019-10-03,8390.774414,bitcoin,8414.227539,8146.437012,8259.992188,13668823409
2019-10-04,8259.494141,bitcoin,8260.055664,8151.236816,8205.939453,13139456229
2019-10-05,8210.149414,bitcoin,8215.526367,8071.120605,8151.500488,12200497197
2019-10-06,8149.876953,bitcoin,8161.410156,7958.850586,7988.155762,13160830305
2019-10-07,7989.120605,bitcoin,8308.450195,7905.766113,8245.623047,18009742607
2019-10-08,8246.849609,bitcoin,8332.714844,8185.763184,8228.783203,15592264032
2019-10-09,8229.84082,bitcoin,8627.706055,8169.298828,8595.740234,19384942333
2019-10-10,8585.280273,bitcoin,8625.272461,8471.933594,8586.473633,17618660671
2019-10-11,8585.262695,bitcoin,8721.780273,8316.181641,8321.756836,19604381101
2019-10-12,8315.665039,bitcoin,8415.242188,8313.34082,8336.555664,14532641605
2019-10-13,8336.902344,bitcoin,8470.988281,8276.612305,8321.005859,13808286059
2019-10-14,8320.832031,bitcoin,8390.208984,8284.130859,8374.686523,15151387859
2019-10-15,8373.458008,bitcoin,8410.714844,8182.706543,8205.369141,15220412632
2019-10-16,8204.674805,bitcoin,8216.8125,7985.089844,8047.526855,16071646996
2019-10-17,8047.8125,bitcoin,8134.831543,8000.942871,8103.911133,14313052244
2019-10-18,8100.933594,bitcoin,8138.413574,7902.164063,7973.20752,15651592610
2019-10-19,7973.803711,bitcoin,8082.629395,7944.776855,7988.560547,13797825640
2019-10-20,7997.807129,bitcoin,8281.818359,7949.439453,8222.078125,15504249442
2019-10-21,8225.115234,bitcoin,8296.694336,8196.416016,8243.720703,15868748866
2019-10-22,8243.402344,bitcoin,8296.651367,8074.462891,8078.203125,16803377857
2019-10-23,8076.228516,bitcoin,8092.999512,7469.322754,7514.671875,21942878958
2019-10-24,7509.728027,bitcoin,7532.867676,7446.98877,7493.48877,16268708849
2019-10-25,7490.703125,bitcoin,8691.540039,7479.984375,8660.700195,28705065488
2019-10-26,8667.577148,bitcoin,10021.744141,8662.62207,9244.972656,44496255609
2019-10-27,9241.707031,bitcoin,9749.529297,9112.541992,9551.714844,32593129501
2019-10-28,9565.101563,bitcoin,9805.118164,9256.148438,9256.148438,30948255332
2019-10-29,9248.44043,bitcoin,9516.180664,9232.648438,9427.6875,28426779937
2019-10-30,9422.462891,bitcoin,9426.874023,9085.370117,9205.726563,27706531577
2019-10-31,9202.458008,bitcoin,9383.161133,9028.717773,9199.584961,26583653947
2019-11-01,9193.992188,bitcoin,9275.657227,9132.047852,9261.104492,24324691031
2019-11-02,9259.783203,bitcoin,9377.486328,9249.587891,9324.717773,21242676385
2019-11-03,9324.787109,bitcoin,9379.806641,9141.251953,9235.354492,21132220847
2019-11-04,9235.607422,bitcoin,9505.051758,9191.485352,9412.612305,26170255634
2019-11-05,9413.004883,bitcoin,9457.417969,9256.931641,9342.527344,26198609048
2019-11-06,9340.864258,bitcoin,9423.237305,9305.90918,9360.879883,23133895765
2019-11-07,9352.393555,bitcoin,9368.476563,9202.353516,9267.561523,22700383839
2019-11-08,9265.368164,bitcoin,9272.759766,8775.53418,8804.880859,24333037836
2019-11-09,8809.46875,bitcoin,8891.818359,8793.163086,8813.582031,17578630606
2019-11-10,8812.489258,bitcoin,9103.826172,8806.162109,9055.526367,20587919881
2019-11-11,9056.917969,bitcoin,9081.279297,8700.608398,8757.788086,20265510765
2019-11-12,8759.751953,bitcoin,8853.768555,8685.427734,8815.662109,20309769107
2019-11-13,8812.033203,bitcoin,8836.841797,8761.651367,8808.262695,17545755405
2019-11-14,8811.936523,bitcoin,8826.943359,8692.551758,8708.094727,19084739975
2019-11-15,8705.708008,bitcoin,8730.873047,8484.84375,8491.992188,21796856471
2019-11-16,8491.166016,bitcoin,8591.99707,8473.973633,8550.760742,16495389808
2019-11-17,8549.470703,bitcoin,8727.789063,8500.967773,8577.975586,18668638897
2019-11-18,8573.980469,bitcoin,8653.280273,8273.573242,8309.286133,21579470673
2019-11-19,8305.134766,bitcoin,8408.516602,8099.963379,8206.145508,21083613816
2019-11-20,8203.613281,bitcoin,8237.240234,8010.511719,8027.268066,20764300437
2019-11-21,8023.644531,bitcoin,8110.098145,7597.381836,7642.75,22514243371
2019-11-22,7643.569336,bitcoin,7697.382813,6936.706543,7296.577637,34242315785
2019-11-23,7296.164551,bitcoin,7442.258789,7151.417969,7397.796875,21008924418
2019-11-24,7398.633789,bitcoin,7408.577148,7029.289063,7047.916992,30433517289
2019-11-25,7039.977051,bitcoin,7319.856934,6617.166992,7146.133789,42685231262
2019-11-26,7145.15918,bitcoin,7320.230469,7098.572266,7218.371094,21129505542
2019-11-27,7220.880859,bitcoin,7619.693359,6974.174316,7531.663574,23991412764
2019-11-28,7536.820313,bitcoin,7730.072754,7454.121582,7463.105957,19050116751
2019-11-29,7466.727051,bitcoin,7781.179688,7460.756348,7761.243652,19709695456
2019-11-30,7764.057129,bitcoin,7836.102051,7515.849609,7569.629883,17158194786
2019-12-01,7571.616211,bitcoin,7571.616211,7291.341797,7424.29248,18720708479
2019-12-02,7424.036133,bitcoin,7474.818848,7233.399414,7321.988281,17082040706
2019-12-03,7323.975586,bitcoin,7418.858887,7229.356934,7320.145508,14797485769
2019-12-04,7320.125,bitcoin,7539.784668,7170.922852,7252.034668,21664240918
2019-12-05,7253.241699,bitcoin,7743.431641,7232.676758,7448.307617,18816085231
2019-12-06,7450.561523,bitcoin,7546.996582,7392.175293,7546.996582,18104466307
2019-12-07,7547.265625,bitcoin,7589.95166,7525.711426,7556.237793,15453520564
2019-12-08,7551.338867,bitcoin,7634.606445,7476.091309,7564.345215,15409908086
2019-12-09,7561.79541,bitcoin,7618.091797,7365.985352,7400.899414,17872021272
2019-12-10,7397.134277,bitcoin,7424.022949,7246.043945,7278.119629,18249031195
2019-12-11,7277.197754,bitcoin,7324.15625,7195.527344,7217.427246,16350490689
2019-12-12,7216.73877,bitcoin,7266.639648,7164.741211,7243.134277,18927080224
2019-12-13,7244.662109,bitcoin,7293.560547,7227.122559,7269.68457,17125736940
2019-12-14,7268.902832,bitcoin,7308.836426,7097.208984,7124.673828,17137029730
2019-12-15,7124.239746,bitcoin,7181.075684,6924.375977,7152.301758,16881129804
2019-12-16,7153.663086,bitcoin,7171.168945,6903.682617,6932.480469,20213265950
2019-12-17,6931.31543,bitcoin,6964.075195,6587.974121,6640.515137,22363804217
